INFO:root:with_scheduler
INFO:root:epoch=0: p=0.15555555555555556, r=0.06521739130434782, f1=0.09190371991247263
INFO:root:epoch=1: p=0.15425531914893617, r=0.09006211180124224, f1=0.11372549019607843
INFO:root:epoch=2: p=0.2392857142857143, r=0.2080745341614907, f1=0.22259136212624583
INFO:root:epoch=3: p=0.3248730964467005, r=0.19875776397515527, f1=0.24662813102119457
INFO:root:epoch=4: p=0.3178294573643411, r=0.2546583850931677, f1=0.2827586206896551
INFO:root:epoch=5: p=0.33876221498371334, r=0.32298136645962733, f1=0.33068362480127184
INFO:root:epoch=6: p=0.288135593220339, r=0.5279503105590062, f1=0.3728070175438597
INFO:root:epoch=10: p=0.3163265306122449, r=0.4813664596273292, f1=0.3817733990147783
INFO:root:epoch=18: p=0.3010752688172043, r=0.5217391304347826, f1=0.3818181818181818
INFO:root:epoch=20: p=0.3333333333333333, r=0.46273291925465837, f1=0.38751625487646296
INFO:root:epoch=25: p=0.3157894736842105, r=0.5217391304347826, f1=0.39344262295081966
